ComparisonType,Source,Polygonal,SameCaliber,SameAmmoType,SameGunMake,SameGunModel,Total,ID,Inc-A,Inc-B,Inc-C,EL,US,Total-computed,checkTotal
KQ,SS,T,T,T,T,T,66,19,7,29,1,0,10,66,TRUE
KQ,SS,F,T,T,T,T,418,303,38,57,5,2,13,418,TRUE
KQ,DS,F,T,T,F,F,218,3,5,54,39,114,3,218,TRUE
KQ,DS,F,T,T,T,F,196,1,9,83,48,46,9,196,TRUE
KQ,DS,T,T,T,T,T,66,0,3,50,3,3,7,66,TRUE
KQ,DS,F,T,T,T,T,479,12,37,256,88,69,17,479,TRUE
QQ,SS,F,T,F,T,T,178,35,18,85,19,16,5,178,TRUE
QQ,SS,F,T,T,T,T,305,219,23,53,5,0,5,305,TRUE
QQ,DS,F,F,F,F,F,94,0,0,1,2,89,2,94,TRUE
QQ,DS,F,T,F,F,F,86,0,1,14,12,57,2,86,TRUE
QQ,DS,F,T,T,F,F,105,0,0,31,26,44,4,105,TRUE
QQ,DS,F,T,F,T,F,84,0,1,31,16,33,3,84,TRUE
QQ,DS,F,T,T,T,F,109,0,7,41,11,50,0,109,TRUE
QQ,DS,F,T,F,T,T,91,1,2,52,22,11,3,91,TRUE
QQ,DS,F,T,T,T,T,389,9,37,244,50,34,15,389,TRUE
