,,,,,,,,2nd Eval,,,,
Polygonal,SameCaliber,SameMake,SameModel,SameAmmo,Type,Source,1st Eval,ID,INC-A,INC-B,INC-C,EL
T,T,T,T,T,KQ,SS,ID,3,0,0,0,0
T,T,T,T,T,KQ,SS,INC-A,0,0,0,0,0
T,T,T,T,T,KQ,SS,INC-B,0,0,1,0,0
T,T,T,T,T,KQ,SS,INC-C,0,0,0,0,0
T,T,T,T,T,KQ,SS,EL,0,0,0,0,0
T,T,T,T,T,KQ,SS,Total,3,0,1,0,0
F,T,T,T,T,QQ,SS,ID,6,0,0,0,0
F,T,T,T,T,QQ,SS,INC-A,0,0,0,0,0
F,T,T,T,T,QQ,SS,INC-B,0,1,4,0,0
F,T,T,T,T,QQ,SS,INC-C,0,0,0,0,0
F,T,T,T,T,QQ,SS,EL,1,0,0,0,0
F,T,T,T,T,QQ,SS,Total,7,1,4,0,0
F,T,T,T,T,KQ,SS,ID,15,0,0,0,0
F,T,T,T,T,KQ,SS,INC-A,1,0,0,0,0
F,T,T,T,T,KQ,SS,INC-B,5,1,2,0,0
F,T,T,T,T,KQ,SS,INC-C,0,0,0,0,0
F,T,T,T,T,KQ,SS,EL,1,0,0,0,0
F,T,T,T,T,KQ,SS,Total,22,1,2,0,0
F,T,T,T,F,QQ,SS,ID,3,0,0,0,0
F,T,T,T,F,QQ,SS,INC-A,0,0,0,0,0
F,T,T,T,F,QQ,SS,INC-B,0,0,4,0,0
F,T,T,T,F,QQ,SS,INC-C,0,0,0,0,0
F,T,T,T,F,QQ,SS,EL,0,0,0,0,0
F,T,T,T,F,QQ,SS,Total,3,0,4,0,0
T,T,T,T,T,KQ,DS,ID,0,,,,
T,T,T,T,T,KQ,DS,INC-A,0,0,,,
T,T,T,T,T,KQ,DS,INC-B,0,0,1,,
T,T,T,T,T,KQ,DS,INC-C,0,0,0,0,
T,T,T,T,T,KQ,DS,EL,0,0,0,0,0
T,T,T,T,T,KQ,DS,Total,0,0,1,0,0
F,T,T,T,T,QQ,DS,ID,0,,,,
F,T,T,T,T,QQ,DS,INC-A,0,0,,,
F,T,T,T,T,QQ,DS,INC-B,0,2,11,,
F,T,T,T,T,QQ,DS,INC-C,0,0,2,1,
F,T,T,T,T,QQ,DS,EL,0,0,2,0,2
F,T,T,T,T,QQ,DS,Total,0,2,15,1,2
F,T,T,T,T,KQ,DS,ID,0,,,,
F,T,T,T,T,KQ,DS,INC-A,2,0,,,
F,T,T,T,T,KQ,DS,INC-B,0,1,12,,
F,T,T,T,T,KQ,DS,INC-C,0,0,2,1,
F,T,T,T,T,KQ,DS,EL,0,0,1,1,5
F,T,T,T,T,KQ,DS,Total,2,1,15,2,5
F,T,T,T,F,QQ,DS,ID,0,,,,
F,T,T,T,F,QQ,DS,INC-A,0,0,,,
F,T,T,T,F,QQ,DS,INC-B,0,0,2,,
F,T,T,T,F,QQ,DS,INC-C,0,0,2,1,
F,T,T,T,F,QQ,DS,EL,0,0,1,0,1
F,T,T,T,F,QQ,DS,Total,0,0,5,1,1
F,T,T,F,T,QQ,DS,ID,0,,,,
F,T,T,F,T,QQ,DS,INC-A,0,1,,,
F,T,T,F,T,QQ,DS,INC-B,0,2,1,,
F,T,T,F,T,QQ,DS,INC-C,0,0,1,0,
F,T,T,F,T,QQ,DS,EL,0,0,0,1,1
F,T,T,F,T,QQ,DS,Total,0,3,2,1,1
F,T,T,F,T,KQ,DS,ID,0,,,,
F,T,T,F,T,KQ,DS,INC-A,0,0,,,
F,T,T,F,T,KQ,DS,INC-B,0,0,2,,
F,T,T,F,T,KQ,DS,INC-C,0,0,0,1,
F,T,T,F,T,KQ,DS,EL,0,0,0,1,3
F,T,T,F,T,KQ,DS,Total,0,0,2,2,3
F,T,T,F,F,QQ,DS,ID,0,,,,
F,T,T,F,F,QQ,DS,INC-A,0,0,,,
F,T,T,F,F,QQ,DS,INC-B,0,0,1,,
F,T,T,F,F,QQ,DS,INC-C,0,0,0,2,
F,T,T,F,F,QQ,DS,EL,0,0,2,1,1
F,T,T,F,F,QQ,DS,Total,0,0,3,3,1
F,T,F,F,T,QQ,DS,ID,0,,,,
F,T,F,F,T,QQ,DS,INC-A,0,0,,,
F,T,F,F,T,QQ,DS,INC-B,0,0,2,,
F,T,F,F,T,QQ,DS,INC-C,0,0,1,1,
F,T,F,F,T,QQ,DS,EL,0,0,0,0,3
F,T,F,F,T,QQ,DS,Total,0,0,3,1,3
F,T,F,F,T,KQ,DS,ID,0,,,,
F,T,F,F,T,KQ,DS,INC-A,0,0,,,
F,T,F,F,T,KQ,DS,INC-B,0,0,2,,
F,T,F,F,T,KQ,DS,INC-C,0,0,1,1,
F,T,F,F,T,KQ,DS,EL,0,0,0,0,4
F,T,F,F,T,KQ,DS,Total,0,0,3,1,4
F,T,F,F,F,QQ,DS,ID,0,,,,
F,T,F,F,F,QQ,DS,INC-A,0,0,,,
F,T,F,F,F,QQ,DS,INC-B,0,0,0,,
F,T,F,F,F,QQ,DS,INC-C,0,0,1,0,
F,T,F,F,F,QQ,DS,EL,0,0,0,0,1
F,T,F,F,F,QQ,DS,Total,0,0,1,0,1
F,F,F,F,F,QQ,DS,ID,0,,,,
F,F,F,F,F,QQ,DS,INC-A,0,0,,,
F,F,F,F,F,QQ,DS,INC-B,0,0,0,,
F,F,F,F,F,QQ,DS,INC-C,0,0,0,0,
F,F,F,F,F,QQ,DS,EL,0,0,0,0,2
F,F,F,F,F,QQ,DS,Total,0,0,0,0,2
